"remkabel vervangen","Remkabel correct vervangen","**1. Oude remkabel verwijderen**
- Zet de fiets op een standaard of kantel hem.
- Ontspan de remmen en open de remblokjes.
- Verwijder oude kabel uit remhendel en remarmen.
- Verwijder versleten kabelhuis.

**2. Nieuwe remkabel voorbereiden**
- Meet oude kabel als referentie.
- Knip nieuwe kabel op maat.
- Controleer en vervang kabelhuis indien nodig.
- Smeer vet in kabelhuis.

**3. Nieuwe kabel monteren**
- Leid kabel door remhendel en kabelhuis.
- Plaats kabel correct in remarmen.
- Bevestig kabel met klem- of boutje.
- Trek kabel strak zodat blokjes licht tegen velg komen.

**4. Afstellen van de remmen**
- Test remhendel: blokjes moeten stevig raken zonder doorlopen.
- Pas positie blokjes of kabelspanning aan.
- Draai klembout goed vast.
- Knip overtollige kabel af en zet kabeleindje erop.

**5. Testen**
- Controleer dat beide blokken tegelijk raken.
- Remmen moeten soepel werken.
- Maak korte testrit.","remkabel.png","https://www.youtube.com/watch?v=VoorbeeldRemkabel"

"cassette vervangen","Cassette correct vervangen","**1. Oude cassette verwijderen**
- Zet de fiets op een standaard.
- Verwijder het achterwiel.
- Plaats kettingzweep op grootste tandwiel om tegen te houden.
- Gebruik cassette-afnemer en steeksleutel om lockring los te draaien.
- Verwijder oude cassette.

**2. Freehub body controleren**
- Controleer op vuil en slijtage.
- Maak schoon en vet licht in indien nodig.

**3. Nieuwe cassette monteren**
- Controleer sleuven op cassette tandwielen.
- Schuif tandwielen op freehub in juiste volgorde.
- Draai lockring handvast, daarna stevig met steeksleutel.

**4. Ketting controleren**
- Controleer ketting op compatibiliteit.
- Vervang indien nodig.

**5. Testen**
- Plaats achterwiel terug.
- Test alle versnellingen.
- Controleer soepele schakeling en geen overslaan.","cassette.png","https://www.youtube.com/watch?v=VoorbeeldCassette"

"freewheel vervangen","Freewheel correct vervangen","**1. Oude freewheel verwijderen**
- Zet de fiets op een standaard.
- Verwijder het achterwiel.
- Plaats freewheel-afnemer op het freewheel.
- Draai tegen de klok in om los te maken.
- Verwijder het oude freewheel.

**2. Naaf controleren**
- Controleer naaf op vuil, roest of beschadigingen.
- Maak schoon en vet licht in.

**3. Nieuw freewheel monteren**
- Schroef het nieuwe freewheel met de hand op de naaf.
- Draai volledig handvast.
- Controleer of het soepel draait.

**4. Ketting controleren**
- Controleer ketting op compatibiliteit.
- Vervang indien nodig.

**5. Testen**
- Plaats achterwiel terug.
- Test alle versnellingen.
- Controleer soepele schakeling en geen overslaan.","freewheel.png","https://www.youtube.com/watch?v=VoorbeeldFreewheel"

"crankas vervangen","Crankas correct vervangen","**1. Oude crank verwijderen**
- Zet de fiets op een standaard.
- Verwijder pedalen (links en rechts).
- Verwijder crankbout met inbus of sleutel.
- Gebruik cranktrekker om crankarm van trapas te trekken.

**2. Bottom bracket controleren**
- Controleer op slijtage of speling.
- Maak schoon en vet licht in.
- Vervang indien nodig met bottom bracket tool.

**3. Nieuwe crank monteren**
- Vet spindle en lagers licht in.
- Schuif crankarm op trapas.
- Draai crankbout handvast en vervolgens koppelvast.
- Plaats andere crankarm op dezelfde manier.

**5. Testen**
- Draai crank rond, controleer speling en wrijving.
- Maak korte testrit om soepele werking te verifiëren.","crankas.png","https://www.youtube.com/watch?v=VoorbeeldCrankas"

"balhoofd afstellen","Balhoofd correct afstellen","**1. Controleer huidige staat**
- Zet de fiets op een standaard.
- Pak het voorwiel en beweeg het stuur heen en weer.
- Voelt het los of hoor je gekraak? Dan moet het balhoofd worden afgesteld.

**2. Balhoofd losdraaien**
- Draai de stelschroef op de bovenste kroonplaat los.
- Draai de stuurpen bouten los zodat het stuur vrij kan bewegen.

**3. Balhoofd afstellen**
- Draai de top cap voorzichtig aan terwijl je het stuur heen en weer beweegt.
- Te strak: stuur draait moeilijk.
- Te los: speling blijft aanwezig.
- Stel bij totdat het stuur soepel draait zonder speling.

**4. Stuurpen vastzetten**
- Draai de stuurpenboutjes vast volgens specificaties.
- Controleer opnieuw dat het stuur soepel draait en er geen speling is.

**5. Testen**
- Til het voorwiel op en draai het stuur volledig rond.
- Controleer op soepelheid en afwezigheid van speling.
- Maak korte testrit, controleer stabiliteit.","balhoofd.png","https://www.youtube.com/watch?v=VoorbeeldBalhoofd"
"versnellingskabel vervangen","Versnellingskabel correct vervangen","**1. Voorbereiding**
- Zet de fiets op een standaard.
- Schakel naar kleinste tandwiel achter en voor.
- Maak oude kabel los bij derailleur en trek uit shifter.

**2. Oude kabel verwijderen**
- Verwijder kabelschoenen en eindkappen.
- Trek oude kabel volledig uit buitenkabel en shifter.
- Controleer buitenkabel op slijtage; vervang indien nodig.

**3. Nieuwe kabel installeren**
- Smeer kabel licht in voor soepel schakelen.
- Steek door shifter en buitenkabel.
- Trek strak langs derailleur, vermijd scherpe bochten.

**4. Bevestigen aan derailleur**
- Plaats kabel in kabelklem van derailleur.
- Trek strak en draai klembout vast.
- Knip overtollige kabel af, plaats kabelkapje.

**5. Afstellen**
- Schakel door alle versnellingen en gebruik barrel adjuster.
- Controleer soepel schakelen.
- Corrigeer H- en L-limieten indien nodig.","versnellingskabel.png","https://www.youtube.com/watch?v=VoorbeeldVersnellingskabel"



